name,event_code,event_root,event_subtype,event_date,event_year,source_url
2015 Paris attacks survivor,Crime : Assault/ Battery Victimization,Crime,Assault/ Battery Victimization,2015-11-13,2015,https://github.com/jfsagro-glitch/ASTROCRM#evn:83068:0
A. D. G.,Death by Disease,Death by Disease,,2004-11-01,2004,https://github.com/jfsagro-glitch/ASTROCRM#evn:74999:0
A. J. Croce,Death of Father,Death of Father,,1973-09-20,1973,https://github.com/jfsagro-glitch/ASTROCRM#evn:73876:0
"Aa, Jan Simon van der","Death, Cause unspecified","Death, Cause unspecified",,1944-02-24,1944,https://github.com/jfsagro-glitch/ASTROCRM#evn:116796:0
"Aabel, Andreas",Relationship : Marriage,Relationship,Marriage,,1936,https://github.com/jfsagro-glitch/ASTROCRM#evn:80270:0
"Aabel, Andreas",Death by Disease,Death by Disease,,1948-12-29,1948,https://github.com/jfsagro-glitch/ASTROCRM#evn:80270:1
"Aabel, Per",Work : Prize,Work,Prize,1999-05-11,1999,https://github.com/jfsagro-glitch/ASTROCRM#evn:77198:0
"Aabel, Per","Death, Cause unspecified","Death, Cause unspecified",,1999-12-22,1999,https://github.com/jfsagro-glitch/ASTROCRM#evn:77198:1
"Aadland, Beverly",Social : Great Publicity,Social,Great Publicity,1959-10-14,1959,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:0
"Aadland, Beverly",Crime : Arrest,Crime,Arrest,1960-04-09,1960,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:1
"Aadland, Beverly",Crime : Sex Victimization/Rape,Crime,Sex Victimization/Rape,1960-04-09,1960,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:2
"Aadland, Beverly",Crime : Trial dates,Crime,Trial dates,1960-05-23,1960,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:3
"Aadland, Beverly",Relationship : Marriage,Relationship,Marriage,1967-04-08,1967,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:4
"Aadland, Beverly",Relationship : Marriage,Relationship,Marriage,,1971,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:5
"Aadland, Beverly",Family : Change in family responsibilities,Family,Change in family responsibilities,,1980,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:6
"Aadland, Beverly","Death, Cause unspecified","Death, Cause unspecified",,2010-01-05,2010,https://github.com/jfsagro-glitch/ASTROCRM#evn:26077:7
"Aadland, Florence",Family : Change in family responsibilities,Family,Change in family responsibilities,1930-12-26,1930,https://github.com/jfsagro-glitch/ASTROCRM#evn:27170:0
"Aadland, Florence",Family : Change in family responsibilities,Family,Change in family responsibilities,1942-09-16,1942,https://github.com/jfsagro-glitch/ASTROCRM#evn:27170:1
