name,date_of_birth,time_of_birth,latitude,longitude,tz_offset,rodden_rating,categories,source_url
A. A. Gill,1954-06-26,19:55:00,55.950000,-3.188000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#A.A.Gill1954
A. J. Antoon,1944-12-07,13:55:00,42.708000,-71.162000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#A.J.Antoon1944
A. J. Cronin,1896-07-19,03:45:00,55.963000,-4.653000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#A.J.Cronin1896
A. J. Foyt,1935-01-16,01:25:00,29.761000,-95.370000,-6.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#A.J.Foyt1935
A. Spencer Paterson,1900-02-22,22:30:00,57.147000,-2.095000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#A.SpencerPaterson1900
Aaron Pryor,1955-10-20,09:41:00,39.104000,-84.514000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AaronPryor1955
Aaron Spelling,1923-04-22,12:30:00,32.778000,-96.796000,-6.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AaronSpelling1923
Aaron Stanford,1976-12-27,20:43:00,42.581000,-71.440000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AaronStanford1976
Aart Van der Leeuw,1876-06-23,15:00:00,52.012000,4.360000,0.3000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AartVanderLeeuw1876
Abd Al Malik,1975-03-14,04:30:00,48.857000,2.351000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbdAlMalik1975
Abdecamai Moussali,1970-04-24,23:30:00,43.604000,1.445000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbdecamaiMoussali1970
Abdon Alinovi,1923-05-06,03:30:00,40.615000,15.059000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbdonAlinovi1923
Abel Bonnard,1883-12-19,03:00:00,46.579000,0.338000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbelBonnard1883
Abel Gance,1889-10-25,14:00:00,48.857000,2.351000,0.1500,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AbelGance1889
Abigail Folger,1943-08-11,17:27:00,37.780000,-122.420000,-7.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AbigailFolger1943
Abigail Gustafson,1979-12-08,16:12:00,42.526000,-71.760000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbigailGustafson1979
Abigail Johnson,1961-12-19,14:45:00,42.359000,-71.059000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbigailJohnson1961
Abigail Voska,1996-01-08,22:14:00,42.359000,-71.059000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbigailVoska1996
Abijah Cheever,1760-05-23,16:00:00,42.468000,-71.015000,-4.9333,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbijahCheever1760
Abimael Guzman,1934-12-03,14:00:00,-17.025000,-72.016000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbimaelGuzman1934
Abner Biberman,1909-04-01,04:00:00,43.041000,-87.909000,-6.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AbnerBiberman1909
Abraham J. Dreiseszun,1920-10-02,18:00:00,39.100000,-94.579000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbrahamJ.Dreiseszun1920
Abraham Kasparian,1953-11-12,07:24:00,42.445000,-73.253000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AbrahamKasparian1953
Accardo Salvatore,1941-09-09,02:00:00,45.068000,7.683000,2.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AccardoSalvatore1941
Achille Compagnoni,1914-09-26,15:45:00,46.463000,10.411000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AchilleCompagnoni1914
Achille Occhetto,1936-03-03,12:00:00,45.068000,7.683000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AchilleOcchetto1936
Achille Paysant,1841-09-27,20:00:00,48.396000,-0.267000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AchillePaysant1841
Achille Van Acker,1898-04-08,17:00:00,51.209000,3.225000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AchilleVanAcker1898
Ada Negri,1870-02-03,17:00:00,45.313000,9.498000,0.8333,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdaNegri1870
Adam Goldberg,1970-10-25,13:13:00,34.011000,-118.492000,-8.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdamGoldberg1970
Adam Heinrich Müller,1779-06-30,22:00:00,52.523000,13.411000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdamHeinrichMüller1779
Adam Paterson Ingram,1947-02-01,10:30:00,55.866000,-4.257000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdamPatersonIngram1947
Adam Petty,1980-07-10,15:45:00,35.954000,-80.004000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdamPetty1980
Adam Timmerman,1971-08-14,19:26:00,42.750000,-95.551000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdamTimmerman1971
Adele Bloemendaal,1933-01-11,10:30:00,52.373000,4.891000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdeleBloemendaal1933
Adeline Blondieau,1971-02-09,16:20:00,48.857000,2.351000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdelineBlondieau1971
Adelio Ferrero,1935-07-10,01:00:00,44.913000,8.617000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdelioFerrero1935
Adger W. Cowans,1936-09-19,00:55:00,39.963000,-82.996000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdgerW.Cowans1936
Adlai E. III Stevenson,1930-10-10,17:13:00,41.883000,-87.632000,-6.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdlaiE.IIIStevenson1930
Adolf Butenandt,1903-03-24,22:00:00,53.539000,8.583000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfButenandt1903
Adolf Eichmann,1906-03-19,19:30:00,51.172000,7.084000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfEichmann1906
Adolf Galland,1912-03-19,12:30:00,51.611000,7.197000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfGalland1912
Adolf Heusinger,1897-08-04,10:30:00,51.828000,9.450000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfHeusinger1897
Adolf Hitler,1889-04-20,18:30:00,48.259000,13.035000,1.0833,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdolfHitler1889
