norm_name,birth_year,death_date
achille van acker,1898.0,1975-07-10
abner biberman,1909.0,1977-06-20
a. j. cronin,1896.0,1981-01-06
aaron spelling,1923.0,2006-06-23
abel gance,1889.0,1981-11-10
abel bonnard,1883.0,1968-05-31
abigail folger,1943.0,1969-08-09
achille compagnoni,1914.0,2009-05-13
aaron pryor,1955.0,2016-10-09
achille paysant,1841.0,1927-10-08
abdon alinovi,1923.0,2018-02-15
a. a. gill,1954.0,2016-12-10
a. j. antoon,1944.0,1992-01-22
abijah cheever,1760.0,1843-04-21
abigail folger,1703.0,1787-11-21
abigail johnson,1700.0,1766-02-22
adolf hitler,1889.0,1945-04-30
adolf butenandt,1903.0,1995-01-18
adolphe thiers,1797.0,1877-09-03
adolf eichmann,1906.0,1962-05-31
agatha christie,1890.0,1976-01-12
adolf galland,1912.0,1996-02-09
adolph wagner,1835.0,1917-11-08
adolf heusinger,1897.0,1982-11-30
adolph kolping,1813.0,1865-12-04
adolf reichwein,1898.0,1944-10-20
adolphe niel,1802.0,1869-08-13
adolphe niel,1802.0,1869-08-14
adrienne rich,1929.0,2012-03-27
ada negri,1870.0,1945-01-11
adam petty,1980.0,2000-05-12
adrien duvillard,1934.0,2017-02-14
adolfo celi,1922.0,1986-02-19
adolph kiefer,1918.0,2017-05-05
adriana asti,1931.0,2025-07-31
adrien fainsilber,1932.0,2023-02-11
agenore incrocci,1919.0,2005-11-15
adriano bassetto,1925.0,1999-10-11
adriano olivetti,1901.0,1960-02-27
adone stellin,1921.0,1996-05-14
adrien bertrand,1888.0,1917-11-18
adriana benetti,1919.0,2016-02-24
adolphe thiers,1878.0,1957-12-23
agnes anne abbot,1897.0,1992-01-01
adelio ferrero,1935.0,1977-09-23
ada negri,1926.0,2015-01-01
alan bean,1932.0,2018-05-26
alain corneau,1943.0,2010-08-30
alain cuny,1908.0,1994-05-16
alan ladd jr.,1937.0,2022-03-02
al unser,1939.0,2021-12-09
alain bashung,1947.0,2009-03-14
alaina reed hall,1946.0,2009-12-17
alain jessua,1932.0,2017-11-30
alain peyrefitte,1925.0,1999-11-27
alain boullet,1935.0,2021-08-20
alain chapel,1937.0,1990-07-10
alain feydeau,1934.0,2008-01-15
al berto,1948.0,1997-06-13
alana ladd,1943.0,2014-11-23
al aber,1927.0,1993-05-20
al lakeman,1918.0,1976-05-25
al unser,1912.0,1995-07-07
al widmar,1925.0,2005-10-14
al widmar,1925.0,2005-10-15
alan strachan,1938.0,2015-05-29
alan strachan,1944.0,2025-06-10
alain poher,1909.0,1996-12-09
alain delon,1935.0,2024-08-18
alan arkin,1934.0,2023-06-29
al jarreau,1940.0,2017-02-12
alain resnais,1922.0,2014-03-01
alan wilson,1943.0,1970-09-03
alain decaux,1925.0,2016-03-27
al parker,1952.0,1992-08-17
alan cranston,1914.0,2000-12-31
al blozis,1919.0,1945-01-21
al blozis,1919.0,1945-01-31
al fairweather,1927.0,1993-06-21
alan longmuir,1948.0,2018-07-02
alan wilson,1947.0,2026-04-04
alain senderens,1939.0,2017-06-25
aguigui mouna,1911.0,1999-05-08
alain lancelot,1937.0,2020-12-14
al parker,1906.0,1985-01-01
alan wilson,1955.0,2024-02-17
alan wilson,1920.0,2015-04-06
al fann,1925.0,2018-10-14
alain girard,1914.0,1996-01-11
alain bailhache,1937.0,2025-02-02
albert einstein,1879.0,1955-04-18
alberto ascari,1918.0,1955-05-26
albert camus,1913.0,1960-01-04
albert schweitzer,1875.0,1965-09-04
albert speer,1905.0,1981-09-01
albert speer,1934.0,2017-09-15
albrecht ritschl,1822.0,1889-03-20
albert frey,1903.0,1998-11-14
alberto fujimori,1938.0,2024-09-11
alberto giacometti,1901.0,1966-01-11
albert uderzo,1927.0,2020-03-24
albert decaris,1901.0,1988-01-01
albert kahn,1860.0,1940-11-14
albert kahn,1869.0,1942-12-08
albert gleizes,1881.0,1953-06-23
alberto bevilacqua,1934.0,2013-09-09
albert sorel,1842.0,1906-06-29
albert hassler,1903.0,1994-09-22
alberto piccinini,1923.0,1972-04-14
albert frey,1913.0,2003-09-01
alberto piccinini,1942.0,2021-05-13
albert millet,1929.0,2007-11-19
albert lauzero,1909.0,2006-07-20
alberto martini,1931.0,1965-05-08
albert kahn,1867.0,1944-02-02
albert kahn,1868.0,1942-07-28
albert kahn,1873.0,1940-01-01
albert kahn,1874.0,1940-01-01
albert kahn,1876.0,1940-01-01
albert millet,1864.0,1891-08-22
albert frey,1870.0,1948-02-14
albert schweitzer,1921.0,2023-01-30
albrecht penck,1858.0,1945-03-07
albert lamorisse,1922.0,1970-06-02
aldo campatelli,1919.0,1984-06-03
albert scott crossfield,1921.0,2006-04-19
alastair sim,1900.0,1976-08-19
alberto sordi,1920.0,2003-02-24
alessandro blasetti,1900.0,1987-02-01
aldo fabrizi,1905.0,1990-04-02
albert kesselring,1885.0,1960-07-16
alberto lattuada,1914.0,2005-07-03
albert bassermann,1867.0,1952-05-15
alberto bertuccelli,1924.0,2002-08-15
alcide de gasperi,1881.0,1954-08-19
albert lortzing,1801.0,1851-01-21
aldo moro,1916.0,1978-05-09
alberto lupo,1924.0,1984-08-13
alberto bonucci,1918.0,1969-04-05
albert calmette,1863.0,1933-10-29
aldo capitini,1899.0,1968-10-16
albert simonin,1905.0,1980-02-15
albert anastasia,1902.0,1957-10-25
albert kluyver,1888.0,1956-05-14
alberto rabagliati,1906.0,1974-03-07
albert spaggiari,1932.0,1989-06-10
albert batteux,1919.0,2003-02-28
albert neuhuys,1844.0,1914-02-06
albert neuhuys,1895.0,1968-02-20
albrecht fleckenstein,1917.0,1992-04-04
alban moga,1923.0,1983-04-05
albert delegue,1963.0,1995-04-14
albert dubreucq,1924.0,1995-10-13
albert gazier,1908.0,1997-03-02
albert jacquard,1925.0,2013-09-11
albert mockel,1866.0,1945-01-30
albert palle,1916.0,2007-03-08
aldo silvani,1891.0,1964-11-12
alberto lionello,1930.0,1994-07-14
alberto bertuzzi,1913.0,1988-02-10
alberto castagna,1945.0,2005-03-01
alberto galassi,1922.0,2002-05-21
albino galvano,1907.0,1990-12-18
aldo garzanti,1883.0,1961-01-01
aldo puccinelli,1920.0,1994-03-11
alden partridge colvocoresses,1918.0,2007-03-27
albert kluyver,1858.0,1938-02-13
albert kluyver,1858.0,1938-02-14
aldo gucci,1905.0,1990-01-19
alberto falck,1938.0,2003-11-03
alberto lattuada,1926.0,2014-01-01
alfred eisenstaedt,1898.0,1995-08-23
alfred rethel,1816.0,1859-12-01
alfred brehm,1829.0,1884-11-11
alexis carrel,1873.0,1944-11-05
alfred manessier,1911.0,1993-08-01
alfred loisy,1857.0,1940-06-01
alexander campbell,1822.0,1892-05-24
alexander campbell,1814.0,1898-08-08
alexander campbell,1779.0,1857-11-05
alex hill,1906.0,1937-02-01
alexander campbell,1871.0,1915-05-07
