rank,feature,mean_abs_shap
1,cross_lon_saturn,0.111789
2,t_d12_jupiter_sign,0.104072
3,t_dist_jupiter_saturn,0.102685
4,t_d12_rahu_deg,0.099689
5,t_aspect_orb_ketu_moon,0.084671
6,t_house_pos_jupiter,0.080300
7,cross_lon_rahu,0.072887
8,t_d10_venus_deg,0.065488
9,t_aspect_orb_moon_venus,0.064893
10,cross_lon_mercury,0.064843
11,active_pd_lord,0.062332
12,t_final_dispositor,0.061244
13,t_nak_pos_moon,0.059666
14,active_ad_lord,0.059516
15,t_aspect_orb_moon_mercury,0.059174
16,md_elapsed_years,0.058952
17,t_jerk_jupiter,0.057151
18,t_sav_house_1,0.052418
19,t_d12_mercury_deg,0.052270
20,t_dist_mercury_venus,0.050841
21,active_md_lord,0.050597
22,t_house_pos_saturn,0.049387
23,t_d12_mars_deg,0.047904
24,t_d9_rahu_deg,0.046329
25,t_house_pos_moon,0.045880
26,t_d9_saturn_deg,0.045734
27,t_d3_jupiter_sign,0.043738
28,t_vel_moon,0.042345
29,t_d9_jupiter_deg,0.042062
30,t_d12_sun_deg,0.040351
31,t_lat_sun,0.039804
32,t_d10_mercury_deg,0.039505
33,t_d12_mercury_sign,0.037705
34,t_house_pos_rahu,0.037679
35,t_aspect_orb_mars_sun,0.037651
36,t_aspect_orb_mars_moon,0.036803
37,t_d12_saturn_deg,0.035732
38,t_aspect_orb_rahu_moon,0.035618
39,t_aspect_orb_venus_rahu,0.035541
40,t_dec_mercury,0.035529
41,t_aspect_orb_saturn_ketu,0.034844
42,t_house_pos_mars,0.034729
43,t_aspect_orb_moon_jupiter,0.034379
44,t_d7_mercury_sign,0.033871
45,t_d10_sun_deg,0.033729
46,t_d10_mars_sign,0.033667
47,t_dist_moon_mercury,0.033535
48,t_aspect_orb_ketu_mercury,0.032265
49,t_d30_jupiter_sign,0.032143
50,t_d24_venus_sign,0.031729
51,t_nak_pos_jupiter,0.031689
52,t_aspect_orb_sun_saturn,0.031350
53,t_aspect_orb_ketu_mars,0.030792
54,t_aspect_orb_saturn_sun,0.030507
55,t_d10_saturn_deg,0.030043
56,t_disp_depth_mars,0.029721
57,t_dist_venus_saturn,0.029174
58,t_dist_mars_venus,0.028880
59,t_dispositor_mars,0.028660
60,t_aspect_orb_jupiter_sun,0.028164
61,t_d9_moon_deg,0.027782
62,t_acc_mercury,0.027774
63,cross_lon_jupiter,0.027638
64,acc_rahu,0.027575
65,t_aspect_orb_ketu_saturn,0.027450
66,t_aspect_orb_jupiter_rahu,0.026767
67,t_aspect_orb_sun_moon,0.026764
68,acc_jupiter,0.026688
69,t_dist_mars_saturn,0.026631
70,t_aspect_orb_rahu_mercury,0.026496
71,t_nak_pos_mercury,0.026430
72,t_aspect_orb_mars_ketu,0.026339
73,t_tattva_moon,0.026161
74,t_tattva_mars,0.025515
75,t_aspect_orb_mars_mercury,0.025265
76,t_vel_mars,0.025065
77,t_house_from_moon_saturn,0.024921
78,t_lat_mars,0.024578
79,t_acc_moon,0.024268
80,t_aspect_orb_saturn_mars,0.023982
81,transit_bav_saturn,0.023862
82,t_dispositor_moon,0.023827
83,t_aspect_orb_mercury_jupiter,0.023621
84,t_dist_mercury_jupiter,0.023318
85,t_dist_mercury_saturn,0.023193
86,t_aspect_orb_mars_jupiter,0.023109
87,t_aspect_orb_rahu_mars,0.022896
88,t_tattva_saturn,0.022845
89,t_d30_saturn_sign,0.022825
90,t_d9_venus_sign,0.022332
91,t_d30_moon_sign,0.022083
92,t_dist_moon_saturn,0.022040
93,t_aspect_orb_rahu_sun,0.021953
94,t_aspect_orb_saturn_moon,0.021728
95,pd_elapsed_years,0.021691
96,t_sav_house_10,0.021665
97,t_dist_sun_moon,0.020927
98,nak_pos_saturn,0.020842
99,cross_lon_venus,0.020816
100,t_d9_mars_deg,0.020642
101,t_jerk_rahu,0.020561
102,t_dist_moon_rahu,0.019909
103,t_aspect_orb_mars_rahu,0.019805
104,t_nak_pos_venus,0.019790
105,t_lat_venus,0.019696
106,t_aspect_orb_moon_saturn,0.019676
107,t_d24_jupiter_sign,0.019513
108,t_acc_sun,0.019131
109,t_d2_sun_sign,0.019081
110,dist_mars_venus,0.019033
111,cross_lon_sun,0.018942
112,t_d10_jupiter_deg,0.018924
113,t_tattva_venus,0.018841
114,t_acc_jupiter,0.018777
115,t_nak_pos_saturn,0.018765
116,t_house_from_moon_mars,0.018708
117,t_dist_moon_ketu,0.018496
118,t_aspect_orb_jupiter_ketu,0.018485
119,t_dispositor_saturn,0.018277
120,t_aspect_orb_saturn_venus,0.018211
121,t_d10_moon_deg,0.018192
122,t_dec_venus,0.018154
123,t_d10_moon_sign,0.017897
124,cross_lon_moon,0.017873
125,t_aspect_orb_venus_mars,0.017570
126,t_d10_mercury_sign,0.017497
127,t_dispositor_venus,0.017409
128,house_pos_rahu,0.017391
129,t_sav_house_9,0.017355
130,t_dist_sun_saturn,0.017297
131,t_house_pos_venus,0.017276
132,t_lat_moon,0.017050
133,final_dispositor,0.017047
134,dist_mercury_venus,0.016955
135,t_lat_mercury,0.016675
136,t_d24_sun_sign,0.016612
137,t_d10_mars_deg,0.016342
138,t_dist_moon_mars,0.016340
139,t_d10_rahu_deg,0.016321
140,t_aspect_orb_mercury_saturn,0.016246
141,t_aspect_orb_rahu_venus,0.016164
142,t_acc_rahu,0.015965
143,d12_moon_deg,0.015847
144,aspect_orb_mars_sun,0.015839
145,t_dist_jupiter_rahu,0.015804
146,t_aspect_orb_jupiter_moon,0.015770
147,t_d24_mars_sign,0.015734
148,t_house_mars,0.015650
149,aspect_orb_mars_rahu,0.015528
150,d30_mercury_sign,0.015432
151,vel_mercury,0.015411
152,lat_moon,0.015406
153,t_nak_pos_sun,0.015406
154,t_d12_venus_deg,0.015375
155,t_vel_rahu,0.015316
156,t_house_pos_ketu,0.015286
157,cross_lon_mars,0.015191
158,t_acc_venus,0.015050
159,t_dec_rahu,0.014974
160,aspect_orb_ketu_venus,0.014655
161,t_aspect_orb_jupiter_mercury,0.014640
162,t_dist_mars_rahu,0.014605
163,t_d3_saturn_sign,0.014603
164,t_aspect_orb_jupiter_venus,0.014561
165,t_lon_saturn,0.014540
166,t_aspect_orb_saturn_rahu,0.014530
167,acc_venus,0.014492
168,nak_pos_jupiter,0.014342
169,aspect_orb_saturn_jupiter,0.014247
170,t_d9_mercury_deg,0.014033
171,t_d4_jupiter_sign,0.014008
172,t_aspect_orb_mercury_rahu,0.013939
173,lon_moon,0.013849
174,t_dec_saturn,0.013606
175,aspect_orb_jupiter_venus,0.013577
176,dist_sun_rahu,0.013571
177,t_aspect_orb_jupiter_saturn,0.013558
178,t_aspect_orb_mars_venus,0.013391
179,t_d4_sun_sign,0.013330
180,t_d4_moon_sign,0.013211
181,t_vel_mercury,0.013203
182,t_dispositor_jupiter,0.013189
183,t_bav_in_sign_venus,0.013156
184,aspect_orb_moon_rahu,0.013023
185,t_d30_mars_sign,0.012906
186,t_d10_jupiter_sign,0.012903
187,dispositor_venus,0.012826
188,t_dec_jupiter,0.012756
189,t_combust_mars,0.012553
190,dispositor_rahu,0.012535
191,lat_mars,0.012483
192,house_from_sun_jupiter,0.012476
193,t_tattva_sun,0.012399
194,t_dist_sun_venus,0.012321
195,t_aspect_orb_saturn_mercury,0.012303
196,t_d4_mercury_sign,0.012231
197,t_aspect_orb_saturn_jupiter,0.012223
198,t_yoga_angle,0.012219
199,t_vel_saturn,0.012197
200,house_from_moon_jupiter,0.012055
201,transit_bav_jupiter,0.012027
202,dist_jupiter_rahu,0.012015
203,lat_venus,0.011935
204,t_nak_pos_ketu,0.011919
205,t_panchanga_vara,0.011900
206,t_disp_depth_moon,0.011853
207,t_lat_jupiter,0.011830
208,dist_jupiter_saturn,0.011811
209,lat_saturn,0.011795
210,t_d9_venus_deg,0.011795
211,transit_bav_venus,0.011722
212,t_d9_moon_sign,0.011658
213,t_d9_saturn_sign,0.011583
214,t_bav_in_sign_mars,0.011435
215,dispositor_sun,0.011393
216,house_pos_mars,0.011384
217,d10_venus_sign,0.011213
218,acc_moon,0.011187
219,aspect_orb_saturn_moon,0.011182
220,t_nak_pos_mars,0.011062
221,aspect_orb_moon_mars,0.011054
222,first_rahu_antardasha_after_16,0.011012
223,dasha_start_age_jupiter,0.010953
224,house_pos_ketu,0.010920
225,t_dist_mars_mercury,0.010885
226,t_d10_sun_sign,0.010788
227,t_drishti_mars_moon,0.010782
228,t_d7_venus_sign,0.010770
229,dist_sun_moon,0.010670
230,t_lon_rahu,0.010630
231,t_aspect_orb_mercury_mars,0.010541
232,t_d12_mars_sign,0.010454
233,t_jerk_saturn,0.010386
234,d10_venus_deg,0.010252
235,transit_bav_mars,0.010174
236,d9_mercury_deg,0.010142
237,t_house_from_moon_sun,0.010137
238,t_dist_saturn_ketu,0.010136
239,t_house_from_moon_jupiter,0.010106
240,aspect_orb_venus_jupiter,0.010093
241,d12_rahu_deg,0.010081
242,d7_venus_sign,0.010048
243,nak_pos_mercury,0.010043
244,d10_mars_deg,0.009992
245,t_dispositor_sun,0.009903
246,aspect_orb_mars_moon,0.009837
247,vel_mars,0.009816
248,sav_house_10,0.009809
249,first_venus_antardasha_after_16,0.009763
250,dasha_start_age_ketu,0.009648
251,lagna_degree_in_sign,0.009549
252,t_combust_jupiter,0.009445
253,t_d3_rahu_sign,0.009413
254,dist_venus_saturn,0.009408
255,d10_rahu_deg,0.009313
256,d9_sun_deg,0.009301
257,dispositor_saturn,0.009279
258,house_pos_jupiter,0.009262
259,t_sav_house_7,0.009188
260,d9_mercury_sign,0.009147
261,t_lon_jupiter,0.009099
262,t_house_from_sun_moon,0.009067
263,d24_moon_sign,0.009014
264,aspect_orb_sun_mars,0.009004
265,t_nak_pos_rahu,0.008990
266,t_d3_sun_sign,0.008968
267,lat_mercury,0.008949
268,t_d7_saturn_sign,0.008893
269,lon_sun,0.008869
270,d9_rahu_sign,0.008818
271,dispositor_jupiter,0.008774
272,dispositor_ketu,0.008690
273,t_aspect_orb_ketu_venus,0.008633
274,t_sav_house_11,0.008624
275,tattva_moon,0.008414
276,d24_mars_sign,0.008401
277,d10_mercury_deg,0.008329
278,aspect_orb_rahu_mercury,0.008283
279,d10_moon_sign,0.008280
280,tattva_mars,0.008223
281,transit_bav_mercury,0.008214
282,yoga_angle,0.008195
283,t_dist_venus_rahu,0.008156
284,aspect_orb_sun_moon,0.008131
285,t_d9_sun_deg,0.008090
286,first_sun_antardasha_after_16,0.008084
287,t_lon_mars,0.008080
288,t_d12_sun_sign,0.008078
289,t_lon_sun,0.008063
290,t_sav_house_3,0.007959
291,t_dist_jupiter_venus,0.007908
292,t_house_pos_mercury,0.007877
293,t_aspect_orb_sun_jupiter,0.007871
294,d7_jupiter_sign,0.007866
295,t_tattva_jupiter,0.007795
296,dasha_start_age_moon,0.007718
297,d12_saturn_sign,0.007713
298,first_saturn_antardasha_after_16,0.007697
299,t_dist_sun_ketu,0.007688
300,vel_sun,0.007670
301,t_disp_depth_ketu,0.007658
302,nak_pos_mars,0.007646
303,dist_moon_mars,0.007554
304,dist_mars_saturn,0.007531
305,t_d4_mars_sign,0.007515
306,d9_saturn_deg,0.007491
307,t_dist_sun_rahu,0.007475
308,t_d9_rahu_sign,0.007464
309,tattva_mercury,0.007458
310,t_dec_mars,0.007456
311,t_drishti_saturn_sun,0.007360
312,aspect_orb_mars_ketu,0.007323
313,t_dist_mars_jupiter,0.007293
314,t_dispositor_mercury,0.007257
315,t_acc_mars,0.007250
316,aspect_orb_rahu_moon,0.007216
317,t_aspect_orb_rahu_saturn,0.007185
318,t_acc_saturn,0.007146
319,dec_mercury,0.007080
320,t_aspect_orb_jupiter_mars,0.007055
321,t_dist_sun_mars,0.007033
322,aspect_orb_rahu_saturn,0.007031
323,aspect_orb_saturn_rahu,0.007026
324,t_sav_house_12,0.007018
325,t_dist_moon_jupiter,0.006915
326,dist_moon_saturn,0.006752
327,d12_mars_deg,0.006701
328,dist_mercury_jupiter,0.006692
329,lon_mars,0.006676
