rank,feature,mean_abs_shap
1,aspect_orb_rahu_mercury,0.062909
2,aspect_orb_ketu_mercury,0.054167
3,dist_moon_saturn,0.052594
4,lagna_lon,0.050457
5,vel_mercury,0.048294
6,d12_mars_deg,0.045940
7,d9_moon_deg,0.040686
8,d12_rahu_deg,0.040649
9,lagna_degree_in_sign,0.040320
10,d10_moon_deg,0.039891
11,aspect_orb_saturn_jupiter,0.037249
12,aspect_orb_sun_jupiter,0.036536
13,aspect_orb_rahu_mars,0.034850
14,d12_rahu_sign,0.032513
15,dist_mercury_ketu,0.032497
16,acc_rahu,0.030777
17,house_pos_ketu,0.030202
18,nak_pos_saturn,0.029278
19,aspect_orb_ketu_sun,0.028469
20,acc_mercury,0.027856
21,aspect_orb_mars_saturn,0.027820
22,d10_rahu_deg,0.027696
23,d12_saturn_sign,0.027535
24,house_pos_mars,0.027521
25,aspect_orb_rahu_sun,0.027435
26,dist_mercury_venus,0.027286
27,d4_moon_sign,0.027165
28,d9_mercury_sign,0.026540
29,aspect_orb_mars_venus,0.026199
30,bav_in_sign_venus,0.026168
31,nak_pos_sun,0.025914
32,dist_mars_venus,0.025535
33,d9_mercury_deg,0.025477
34,house_pos_saturn,0.025006
35,sav_house_6,0.024876
36,vel_mars,0.024713
37,vel_moon,0.024228
38,tattva_venus,0.022830
39,lat_moon,0.022768
40,dist_jupiter_saturn,0.022052
41,dist_mercury_rahu,0.021993
42,nak_pos_jupiter,0.021680
43,d12_moon_deg,0.021675
44,d24_venus_sign,0.021673
45,lat_mercury,0.021583
46,house_pos_jupiter,0.021458
47,aspect_orb_rahu_moon,0.021137
48,jerk_rahu,0.020914
49,sav_house_8,0.020687
50,lon_rahu,0.020591
51,dispositor_moon,0.019888
52,aspect_orb_moon_jupiter,0.019883
53,aspect_orb_moon_mercury,0.019548
54,disp_depth_moon,0.019285
55,d9_mars_deg,0.019136
56,dec_mercury,0.018816
57,final_dispositor,0.018531
58,aspect_orb_mars_moon,0.018530
59,nak_pos_mars,0.018329
60,first_rahu_antardasha_after_16,0.017981
61,aspect_orb_saturn_mercury,0.017670
62,aspect_orb_jupiter_ketu,0.017571
63,dasha_start_age_moon,0.017507
64,lat_jupiter,0.017439
65,aspect_orb_sun_mars,0.017360
66,dist_moon_mercury,0.017304
67,aspect_orb_mercury_rahu,0.017219
68,nak_pos_rahu,0.017098
69,house_from_moon_saturn,0.016915
70,dispositor_rahu,0.016766
71,nak_pos_mercury,0.016738
72,dist_sun_mercury,0.016721
73,acc_sun,0.016431
74,dec_jupiter,0.016323
75,d12_venus_deg,0.016283
76,d12_sun_deg,0.016018
77,d12_ketu_sign,0.015868
78,vel_rahu,0.015824
79,aspect_orb_jupiter_mercury,0.015677
80,d10_venus_deg,0.015663
81,dispositor_mercury,0.015558
82,dist_sun_moon,0.015556
83,dist_mars_saturn,0.015501
84,acc_jupiter,0.015423
85,house_pos_venus,0.015011
86,nak_pos_ketu,0.014874
87,dec_sun,0.014752
88,first_moon_antardasha_after_16,0.014572
89,d12_saturn_deg,0.014440
90,aspect_orb_venus_saturn,0.014378
91,dec_venus,0.014205
92,lat_saturn,0.014142
93,aspect_orb_jupiter_venus,0.014128
94,d10_saturn_deg,0.013988
95,dispositor_sun,0.013974
96,dist_jupiter_rahu,0.013951
97,dist_mercury_saturn,0.013904
98,d30_jupiter_sign,0.013781
99,d9_jupiter_deg,0.013761
100,d9_rahu_deg,0.013511
101,d24_mercury_sign,0.013432
102,dasha_start_age_rahu,0.013323
103,d24_saturn_sign,0.013261
104,dist_mars_jupiter,0.013217
