rank,feature,mean_abs_shap
1,cross_lon_saturn,0.620412
2,active_md_lord,0.158847
3,active_ad_lord,0.131302
4,cross_lon_rahu,0.123280
5,cross_lon_jupiter,0.114400
6,active_pd_lord,0.103185
7,t_house_pos_saturn,0.100285
8,transit_bav_saturn,0.096379
9,t_d10_jupiter_deg,0.086532
10,t_d10_mars_deg,0.084672
11,t_panchanga_vara,0.084466
12,t_lat_mercury,0.075952
13,t_d12_moon_deg,0.075550
14,t_lat_moon,0.074431
15,t_sav_house_4,0.073601
16,ad_elapsed_years,0.070860
17,t_dist_moon_jupiter,0.067875
18,t_tattva_rahu,0.065853
19,t_dispositor_saturn,0.063479
20,transit_bav_moon,0.060245
21,sade_sati_active,0.057178
22,t_house_pos_venus,0.057110
23,cross_lon_moon,0.056815
24,t_house_pos_mars,0.056657
25,t_drishti_saturn_rahu,0.054672
26,md_elapsed_years,0.053255
27,cross_lon_mercury,0.052552
28,t_d9_saturn_deg,0.052437
29,pd_elapsed_years,0.050719
30,t_dist_mars_rahu,0.050538
31,cross_lon_venus,0.049998
32,t_nak_pos_mercury,0.049675
33,t_d12_rahu_sign,0.048409
34,t_d10_moon_deg,0.045883
35,t_sav_house_10,0.044804
36,t_d10_mercury_sign,0.044151
37,t_drishti_saturn_venus,0.042636
38,nak_pos_mars,0.041683
39,t_aspect_orb_mars_saturn,0.041183
40,cross_lon_mars,0.040281
41,house_pos_jupiter,0.037135
42,t_bav_in_sign_venus,0.036940
43,t_aspect_orb_moon_mars,0.035520
44,t_drishti_mars_jupiter,0.035303
45,t_dist_moon_venus,0.034864
46,t_aspect_orb_mars_jupiter,0.033604
47,t_d4_moon_sign,0.033235
48,t_d12_sun_deg,0.032936
49,t_aspect_orb_mars_sun,0.032616
50,t_d24_mercury_sign,0.032119
51,t_d12_mercury_deg,0.031832
52,t_nak_pos_jupiter,0.031827
53,t_d9_mars_deg,0.031421
54,t_dispositor_mercury,0.030382
55,t_house_pos_ketu,0.029254
56,t_aspect_orb_jupiter_moon,0.028540
57,d7_mercury_sign,0.028275
58,dist_venus_saturn,0.028127
59,t_aspect_orb_saturn_venus,0.027461
60,t_acc_saturn,0.027445
61,dasha_start_age_ketu,0.027211
62,dist_mars_mercury,0.026995
63,d12_mercury_deg,0.026977
64,t_dist_jupiter_ketu,0.026244
65,aspect_orb_moon_jupiter,0.025965
66,t_house_pos_rahu,0.025352
67,t_aspect_orb_mars_moon,0.024984
68,nak_pos_moon,0.024976
69,t_d9_mercury_deg,0.024891
70,dasha_start_age_rahu,0.024882
71,t_acc_rahu,0.024716
72,d10_mercury_deg,0.024494
73,lagna_lon,0.024447
74,t_tithi_angle,0.023790
75,t_dist_sun_mercury,0.023774
76,aspect_orb_mercury_saturn,0.023566
77,dist_sun_rahu,0.023252
78,d7_saturn_sign,0.023007
79,t_dispositor_mars,0.022922
80,first_rahu_antardasha_after_16,0.022822
81,dist_moon_mercury,0.022718
82,t_nak_pos_venus,0.022680
83,t_aspect_orb_mars_rahu,0.022620
84,aspect_orb_rahu_mercury,0.022544
85,dec_moon,0.022386
86,t_d9_jupiter_deg,0.022322
87,d12_mars_deg,0.022125
88,t_disp_depth_mercury,0.022121
89,t_dispositor_ketu,0.021493
90,t_dispositor_jupiter,0.021197
91,aspect_orb_jupiter_rahu,0.020982
92,t_dist_mercury_venus,0.020878
93,aspect_orb_jupiter_ketu,0.020837
94,tattva_rahu,0.020664
95,aspect_orb_saturn_mars,0.020390
96,t_house_pos_mercury,0.019885
97,house_pos_mars,0.019878
98,dispositor_mars,0.019853
99,aspect_orb_ketu_moon,0.019716
100,house_pos_ketu,0.019707
101,t_aspect_orb_ketu_moon,0.019675
102,aspect_orb_jupiter_mars,0.019582
103,dasha_start_age_mars,0.019399
104,t_tattva_jupiter,0.019348
105,dec_saturn,0.019338
106,transit_bav_mars,0.019332
107,dist_moon_ketu,0.019259
108,t_d10_saturn_deg,0.019235
109,t_aspect_orb_saturn_moon,0.018892
110,t_aspect_orb_jupiter_rahu,0.018838
111,t_d9_venus_sign,0.018790
112,t_aspect_orb_saturn_mercury,0.018725
113,dec_jupiter,0.018387
114,t_sav_house_2,0.018298
115,d3_moon_sign,0.018240
116,t_d9_rahu_deg,0.018210
117,d12_rahu_deg,0.018195
118,t_vel_rahu,0.018154
119,yoga_angle,0.018031
120,d9_venus_deg,0.018001
121,t_dec_mercury,0.017962
122,dasha_start_age_moon,0.017906
123,t_vel_mercury,0.017702
124,first_mars_antardasha_after_16,0.017686
125,d12_sun_deg,0.017535
126,dispositor_saturn,0.017487
127,d9_mars_deg,0.017260
128,t_dist_mars_saturn,0.017245
129,t_d9_moon_deg,0.016984
130,t_d12_venus_sign,0.016835
131,dist_sun_venus,0.016763
132,t_dec_rahu,0.016634
133,t_aspect_orb_moon_jupiter,0.016585
134,t_aspect_orb_mars_venus,0.016570
135,t_aspect_orb_jupiter_saturn,0.016550
136,transit_bav_jupiter,0.016420
137,t_aspect_orb_jupiter_sun,0.016390
138,d9_moon_deg,0.016362
139,t_acc_mars,0.016157
140,aspect_orb_saturn_sun,0.016115
141,t_dispositor_rahu,0.016113
142,t_sav_house_5,0.016045
143,t_nak_pos_moon,0.015897
144,t_aspect_orb_mercury_saturn,0.015896
145,first_venus_antardasha_after_16,0.015850
146,t_nak_pos_sun,0.015667
147,dispositor_sun,0.015557
148,t_vel_moon,0.015551
149,t_disp_depth_mars,0.015521
150,house_from_moon_mercury,0.015473
151,dispositor_rahu,0.015379
152,first_ketu_antardasha_after_16,0.015336
153,first_jupiter_antardasha_after_16,0.015281
154,t_lon_ketu,0.015270
155,nak_pos_jupiter,0.015103
156,d24_mercury_sign,0.015016
157,d12_saturn_deg,0.015006
158,transit_bav_venus,0.014986
159,t_d10_venus_deg,0.014981
160,t_nak_pos_saturn,0.014945
161,dispositor_moon,0.014944
162,dist_sun_moon,0.014924
163,t_sav_house_12,0.014909
164,lon_venus,0.014908
165,aspect_orb_sun_jupiter,0.014789
166,acc_rahu,0.014747
167,t_aspect_orb_jupiter_mars,0.014741
168,dist_moon_venus,0.014741
169,t_d24_saturn_sign,0.014728
170,aspect_orb_moon_mars,0.014507
171,house_pos_moon,0.014454
172,tattva_mars,0.014404
173,t_sav_house_1,0.014386
174,t_yoga_sasa,0.014303
175,t_aspect_orb_rahu_sun,0.014237
176,t_dist_venus_rahu,0.014214
177,d9_ketu_sign,0.014099
178,t_tattva_sun,0.014079
179,t_lat_mars,0.013962
180,t_dist_jupiter_rahu,0.013939
181,lat_venus,0.013841
182,t_aspect_orb_venus_jupiter,0.013825
183,t_vel_mars,0.013794
184,t_house_mercury,0.013728
185,d12_jupiter_sign,0.013718
186,d4_moon_sign,0.013713
187,t_d12_rahu_deg,0.013705
188,t_aspect_orb_sun_rahu,0.013666
189,house_pos_saturn,0.013654
190,nak_pos_ketu,0.013567
191,aspect_orb_rahu_mars,0.013473
192,t_d12_saturn_deg,0.013464
193,dispositor_jupiter,0.013438
194,t_aspect_orb_saturn_jupiter,0.013413
195,d2_sun_sign,0.013397
196,aspect_orb_mars_mercury,0.013374
197,t_dist_sun_rahu,0.013363
198,d10_venus_deg,0.013322
199,t_dec_ketu,0.013273
200,tattva_mercury,0.013184
201,aspect_orb_moon_venus,0.012837
202,t_aspect_orb_ketu_mars,0.012820
203,t_d10_sun_deg,0.012737
204,house_from_sun_saturn,0.012730
205,t_aspect_orb_mercury_mars,0.012722
206,jerk_rahu,0.012692
207,t_aspect_orb_venus_saturn,0.012635
208,t_d4_venus_sign,0.012566
209,d12_venus_deg,0.012498
210,lon_jupiter,0.012429
211,d9_jupiter_sign,0.012419
212,t_aspect_orb_sun_mars,0.012418
213,d12_venus_sign,0.012380
214,t_house_pos_moon,0.012260
215,t_dist_mars_ketu,0.012193
216,t_d3_rahu_sign,0.012072
217,dispositor_venus,0.012059
218,t_dist_saturn_rahu,0.012052
219,t_d12_saturn_sign,0.012041
220,t_lat_saturn,0.012036
221,d10_saturn_deg,0.011968
222,vel_moon,0.011857
223,t_lon_mercury,0.011827
224,d10_rahu_deg,0.011816
225,acc_mercury,0.011810
226,t_dispositor_venus,0.011801
227,transit_bav_mercury,0.011786
228,aspect_orb_jupiter_venus,0.011685
229,d9_jupiter_deg,0.011680
230,d9_mercury_deg,0.011602
231,t_dist_jupiter_venus,0.011587
232,d10_mars_sign,0.011587
233,t_d10_moon_sign,0.011573
234,lat_saturn,0.011560
235,t_aspect_orb_rahu_moon,0.011534
236,t_dist_sun_saturn,0.011530
237,t_aspect_orb_rahu_mercury,0.011508
238,t_d7_venus_sign,0.011392
239,dist_jupiter_rahu,0.011388
240,t_acc_venus,0.011316
241,vel_saturn,0.011209
242,d12_jupiter_deg,0.011166
243,lat_mercury,0.011146
244,t_acc_mercury,0.011108
245,d4_jupiter_sign,0.011063
246,lon_saturn,0.011042
247,aspect_orb_mars_moon,0.010990
248,first_sun_antardasha_after_16,0.010961
249,d9_saturn_deg,0.010877
250,t_dist_mars_jupiter,0.010873
251,t_aspect_orb_rahu_saturn,0.010871
252,t_tattva_venus,0.010843
253,aspect_orb_jupiter_sun,0.010828
254,t_aspect_orb_ketu_saturn,0.010818
255,t_tattva_mars,0.010813
256,t_aspect_orb_sun_moon,0.010803
257,aspect_orb_mars_rahu,0.010765
258,t_dist_moon_mars,0.010728
259,d30_mercury_sign,0.010605
260,aspect_orb_saturn_venus,0.010416
261,dist_mars_venus,0.010264
262,aspect_orb_ketu_sun,0.010249
263,dist_mercury_rahu,0.010239
264,t_tattva_mercury,0.010219
265,t_lagna_lon,0.010200
266,t_house_from_moon_jupiter,0.010178
267,t_d10_rahu_deg,0.010168
268,d30_rahu_sign,0.010058
269,dist_moon_saturn,0.010027
270,t_house_from_moon_mars,0.010027
271,dist_jupiter_saturn,0.009965
272,d4_rahu_sign,0.009893
273,t_d9_moon_sign,0.009869
274,dist_jupiter_venus,0.009825
275,dist_mars_rahu,0.009811
276,dist_mercury_jupiter,0.009784
277,dist_saturn_rahu,0.009751
278,t_dec_jupiter,0.009739
279,dist_moon_rahu,0.009664
280,house_moon,0.009622
281,lat_jupiter,0.009597
282,aspect_orb_ketu_saturn,0.009589
283,acc_venus,0.009553
284,t_d9_sun_sign,0.009541
285,t_aspect_orb_mercury_jupiter,0.009505
286,aspect_orb_mercury_rahu,0.009500
287,aspect_orb_moon_saturn,0.009483
288,t_d24_rahu_sign,0.009459
289,natal_dasha_remaining_years,0.009453
