domain,conf,n_windows,person_years,events,rate_per_1k_yr
marriage,0,15821,20467.7,228,11.14
marriage,1,14470,19669.0,213,10.83
marriage,2,21317,30769.7,318,10.33
marriage,3,23804,35892.9,401,11.17
marriage,4,15345,25825.4,278,10.76
marriage,5,5789,11772.2,118,10.02
marriage,6,1062,2948.1,30,10.18
career,0,13394,18075.6,559,30.93
career,1,9119,12186.6,401,32.91
career,2,16595,23796.0,710,29.84
career,3,31738,50129.5,1453,28.98
career,4,35125,56884.2,1755,30.85
career,5,21503,33976.3,1045,30.76
career,6,5893,9030.5,285,31.56
death,0,31832,39996.7,283,7.08
death,1,27752,38105.3,295,7.74
death,2,39843,57310.9,396,6.91
death,3,44164,67647.6,500,7.39
death,4,29581,50135.2,315,6.28
death,5,11866,23840.2,184,7.72
death,6,2274,5984.2,56,9.36
