id,type,event_class,house,label,n,effect,null,lift,stat,p,fdr_pass
H087,karaka,relationship,5.0,relationship ← karaka Jupiter of 5th [exposure],551,0.2033,0.1333,1.525,4.83,6.857895406195918e-07,True
H091,karaka,death,8.0,death ← karaka Saturn of 8th [exposure],2695,0.1866,0.1583,1.179,4.03,2.840296018665767e-05,True
H092,karaka,family,2.0,family ← karaka Jupiter of 2th [exposure],956,0.1705,0.1333,1.279,3.38,0.00036145643516501504,True
H088,karaka,career,10.0,career ← karaka Sun/Mercury/Jupiter/Saturn of 10th [exposure],6702,0.5016,0.4833,1.038,3.0,0.0013531922862376354,True
H001,sig_md,marriage,7.0,marriage ← 7th-lord (spouse) [MD],1750,0.1354,0.1175,1.153,2.19,0.01998001998001998,False
H057,sig_md,health,12.0,health ← 12th-lord (hospital) [MD],763,0.1389,0.1123,1.237,1.98,0.029970029970029972,False
H098,age,career,,"career age ~ strength(10,): ρ? stronger 10th → ?",2340,-0.044,0.0,,-2.13,0.031,False
H056,sig_ad,health,8.0,health ← 8th-lord (chronic) [AD],763,0.1415,0.1191,1.188,1.88,0.03296703296703297,False
H100,d9,marriage,7.0,marriage ← navamsa dispositor of 7th-lord [D9],1750,0.128,0.1134,1.129,1.84,0.03296703296703297,False
H042,sig_ad,education,4.0,education ← 4th-lord (schooling) [AD],422,0.1517,0.1215,1.248,1.97,0.03596403596403597,False
H094,age,marriage,,"marriage age ~ strength(7,): ρ<0 stronger 7th → earlier",1200,-0.0601,0.0,,-2.1,0.038,False
H050,sig_ad,education,3.0,education ← 3th-lord (skill) [AD],422,0.1422,0.1179,1.206,1.56,0.06993006993006994,False
H032,sig_ad,career,6.0,career ← 6th-lord (service) [AD],6702,0.1325,0.126,1.052,1.52,0.07092907092907093,False
H029,sig_md,career,10.0,career ← 10th-lord (karma) [MD],6702,0.1216,0.1144,1.063,1.28,0.1068931068931069,False
H095,age,marriage,,"marriage age ~ strength(2, 7, 11): ρ<0 stronger trine → earlier",1200,-0.046,0.0,,-1.6,0.1069,False
H071,sig_md,family,2.0,family ← 2th-lord (kutumba) [MD],956,0.137,0.1201,1.141,1.26,0.11788211788211789,False
H047,sig_md,education,9.0,education ← 9th-lord (higher) [MD],422,0.1327,0.1098,1.209,1.26,0.12187812187812187,False
H014,sig_ad,divorce,6.0,divorce ← 6th-lord (separation) [AD],422,0.1445,0.1255,1.151,1.16,0.13086913086913088,False
H059,sig_md,death,8.0,death ← 8th-lord (longevity) [MD],2695,0.1328,0.125,1.062,1.16,0.13386613386613386,False
H025,sig_md,relationship,11.0,relationship ← 11th-lord (desire) [MD],551,0.127,0.1102,1.152,1.06,0.15884115884115885,False
H060,sig_ad,death,8.0,death ← 8th-lord (longevity) [AD],2695,0.1284,0.1228,1.046,0.93,0.17382617382617382,False
H045,sig_md,education,2.0,education ← 2th-lord (learning) [MD],422,0.128,0.1097,1.166,1.01,0.17782217782217782,False
H015,sig_md,divorce,8.0,divorce ← 8th-lord (rupture) [MD],422,0.1351,0.1199,1.127,0.91,0.2017982017982018,False
H011,sig_md,divorce,7.0,divorce ← 7th-lord (spouse) [MD],422,0.1351,0.1206,1.12,0.88,0.21478521478521478,False
H075,sig_md,family,7.0,family ← 7th-lord (kin) [MD],956,0.136,0.1249,1.089,0.79,0.21678321678321677,False
H010,sig_ad,marriage,8.0,marriage ← 8th-lord (mangalya) [AD],1750,0.1291,0.1236,1.045,0.69,0.24775224775224775,False
H031,sig_md,career,6.0,career ← 6th-lord (service) [MD],6702,0.1297,0.126,1.029,0.63,0.2627372627372627,False
H101,d9,career,10.0,career ← navamsa dispositor of 10th-lord [D9],6702,0.1219,0.1189,1.025,0.55,0.29270729270729273,False
H072,sig_ad,family,2.0,family ← 2th-lord (kutumba) [AD],956,0.1276,0.1223,1.043,0.52,0.32967032967032966,False
H046,sig_ad,education,2.0,education ← 2th-lord (learning) [AD],422,0.1209,0.1136,1.064,0.49,0.33966033966033965,False
H069,sig_md,death,1.0,death ← 1th-lord (vitality) [MD],2695,0.1184,0.1159,1.022,0.39,0.34765234765234765,False
H073,sig_md,family,4.0,family ← 4th-lord (home) [MD],956,0.1297,0.1244,1.043,0.4,0.3626373626373626,False
H027,sig_md,relationship,8.0,relationship ← 8th-lord (passion) [MD],551,0.1252,0.1192,1.051,0.37,0.3706293706293706,False
H044,sig_ad,education,5.0,education ← 5th-lord (intellect) [AD],422,0.128,0.1227,1.043,0.34,0.3956043956043956,False
H082,sig_ad,personal,5.0,personal ← 5th-lord (mind) [AD],419,0.1241,0.1192,1.041,0.32,0.4015984015984016,False
H004,sig_ad,marriage,2.0,marriage ← 2th-lord (family) [AD],1750,0.1217,0.1194,1.019,0.3,0.4045954045954046,False
