significator,level,n,obs,null,lift,z,p
7th-lord,MD,1750,0.135,0.117,1.154,2.18,0.0183
7th-lord,AD,1750,0.123,0.124,0.993,-0.11,0.5491
7th-lord,MD∩AD,1750,0.021,0.017,1.25,1.42,0.0998
2nd-lord,MD,1750,0.097,0.112,0.869,-1.77,0.9767
2nd-lord,AD,1750,0.122,0.12,1.017,0.26,0.4293
2nd-lord,MD∩AD,1750,0.017,0.016,1.016,0.09,0.4975
11th-lord,MD,1750,0.098,0.11,0.892,-1.51,0.9517
11th-lord,AD,1750,0.117,0.118,0.989,-0.17,0.579
11th-lord,MD∩AD,1750,0.019,0.016,1.204,1.13,0.1647
any of 2/7/11,MD,1750,0.298,0.303,0.983,-0.45,0.7005
any of 2/7/11,AD,1750,0.324,0.324,1.0,0.01,0.4942
any of 2/7/11,MD∩AD,1750,0.099,0.107,0.924,-1.16,0.8935
