domain,condition,n,hit_rate,expected,lift,z,p
marriage,AD_benefic_from_MD,1147,0.6364,0.6282,1.013,0.59,0.5543
marriage,AD_malefic_from_MD,1147,0.204,0.2086,0.978,-0.4,0.6923
marriage,7L_period,1147,0.2267,0.2376,0.954,-0.93,0.3546
marriage,Phaladeepika_stream,1147,0.7873,0.7815,1.007,0.51,0.6066
marriage,BPHS_benefic_AD_stream,1147,0.0767,0.0704,1.09,0.88,0.3781
career,AD_benefic_from_MD,2107,0.6236,0.6256,0.997,-0.19,0.8497
career,AD_malefic_from_MD,2107,0.2126,0.2117,1.004,0.11,0.9149
career,BPHS_benefic_AD_stream,2107,0.0793,0.0729,1.087,1.18,0.2388
education,AD_benefic_from_MD,276,0.663,0.6208,1.068,1.49,0.1349
education,AD_malefic_from_MD,276,0.1739,0.2037,0.854,-1.27,0.2043
death,AD_benefic_from_MD,1435,0.623,0.6266,0.994,-0.29,0.7723
death,AD_malefic_from_MD,1435,0.2125,0.2071,1.026,0.52,0.6033
death,7L_period,1435,0.2286,0.2342,0.976,-0.52,0.6042
