rank,feature,mean_abs_shap
1,cross_lon_saturn,0.517114
2,cross_lon_jupiter,0.215176
3,cross_lon_rahu,0.156661
4,ad_elapsed_years,0.100273
5,cross_lon_mars,0.095856
6,md_elapsed_years,0.095599
7,t_lat_moon,0.082576
8,transit_bav_moon,0.080604
9,transit_bav_venus,0.077494
10,t_d10_mars_sign,0.074799
11,pd_elapsed_years,0.068749
12,t_dist_moon_jupiter,0.068573
13,active_ad_lord,0.066186
14,active_md_lord,0.065600
15,active_pd_lord,0.065302
16,t_dist_mercury_ketu,0.064202
17,t_nak_pos_moon,0.063393
18,t_aspect_orb_jupiter_sun,0.063301
19,t_nak_pos_sun,0.060860
20,t_house_pos_ketu,0.059091
21,t_house_pos_saturn,0.055354
22,t_d10_mars_deg,0.054276
23,sade_sati_active,0.050982
24,t_aspect_orb_jupiter_ketu,0.048583
25,t_bav_in_sign_saturn,0.048176
26,t_dist_mercury_venus,0.046309
27,t_sav_house_2,0.046052
28,t_lon_ketu,0.043703
29,t_aspect_orb_ketu_moon,0.042891
30,t_panchanga_vara,0.042481
31,t_dec_mars,0.042335
32,t_d12_rahu_deg,0.040287
33,t_nak_pos_mercury,0.039908
34,transit_bav_mars,0.039466
35,t_d9_ketu_sign,0.039426
36,t_aspect_orb_saturn_mercury,0.039211
37,t_d24_mars_sign,0.038701
38,t_d10_jupiter_deg,0.038578
39,t_d10_rahu_deg,0.038025
40,t_d3_rahu_sign,0.037838
41,t_d9_jupiter_deg,0.037789
42,t_d12_venus_sign,0.037696
43,cross_lon_venus,0.037335
44,dec_rahu,0.036560
45,t_lagna_degree_in_sign,0.036440
46,t_aspect_orb_rahu_moon,0.035848
47,aspect_orb_saturn_mercury,0.035270
48,t_nak_pos_ketu,0.035233
49,t_aspect_orb_rahu_venus,0.034793
50,t_dispositor_mars,0.033992
51,t_d12_mercury_deg,0.033693
52,d9_mercury_sign,0.033362
53,t_house_pos_venus,0.030907
54,d10_rahu_sign,0.030301
55,d10_sun_sign,0.030177
56,t_sav_house_3,0.029803
57,cross_lon_moon,0.029196
58,t_vel_moon,0.028996
59,t_dec_ketu,0.028588
60,t_dispositor_venus,0.028561
61,t_aspect_orb_venus_saturn,0.028382
62,tattva_venus,0.028320
63,t_house_pos_sun,0.028320
64,t_house_pos_jupiter,0.028192
65,aspect_orb_saturn_venus,0.028128
66,t_dist_saturn_ketu,0.027673
67,t_dispositor_jupiter,0.027320
68,aspect_orb_rahu_venus,0.027264
69,t_d10_mercury_sign,0.026775
70,t_dist_mars_jupiter,0.026700
71,t_aspect_orb_saturn_sun,0.026659
72,t_d24_rahu_sign,0.026393
73,t_aspect_orb_mars_sun,0.026306
74,t_d9_saturn_deg,0.026216
75,nak_pos_ketu,0.025889
76,t_d12_sun_deg,0.025727
77,house_pos_mercury,0.025536
78,d10_mars_deg,0.024986
79,transit_bav_jupiter,0.024771
80,t_d10_sun_deg,0.024436
81,aspect_orb_moon_saturn,0.024292
82,t_aspect_orb_moon_venus,0.024015
83,t_d7_jupiter_sign,0.023897
84,dec_moon,0.023326
85,t_tattva_mercury,0.022895
86,d12_saturn_deg,0.022865
87,t_house_pos_mars,0.022803
88,t_nak_pos_venus,0.022350
89,t_bav_in_sign_sun,0.021900
90,t_vel_rahu,0.021874
91,t_aspect_orb_mercury_jupiter,0.021688
92,d4_mercury_sign,0.021516
93,vel_venus,0.021481
94,t_aspect_orb_jupiter_mars,0.021471
95,t_acc_jupiter,0.021323
96,t_dist_sun_mercury,0.021238
97,t_dist_moon_mars,0.021202
98,t_dec_rahu,0.021115
99,t_d9_venus_sign,0.020940
100,t_aspect_orb_jupiter_rahu,0.020932
101,t_final_dispositor,0.020480
102,t_d10_moon_deg,0.020398
103,house_from_moon_mercury,0.020347
104,t_aspect_orb_rahu_sun,0.020219
105,first_sun_antardasha_after_16,0.020139
106,first_ketu_antardasha_after_16,0.020129
107,t_aspect_orb_mars_rahu,0.020054
108,t_d30_venus_sign,0.019697
109,t_d7_moon_sign,0.019506
110,t_dist_mercury_saturn,0.019469
111,t_nak_pos_rahu,0.019416
112,t_dispositor_saturn,0.019164
113,aspect_orb_saturn_sun,0.019139
114,house_sun,0.019110
115,aspect_orb_rahu_mars,0.018821
116,nak_pos_jupiter,0.018561
117,t_bav_in_sign_mars,0.018470
118,t_d24_venus_sign,0.018436
119,t_house_pos_mercury,0.018431
120,t_lat_mercury,0.018341
121,t_combust_mercury,0.018203
122,d10_mercury_deg,0.018114
123,t_sav_house_11,0.018006
124,t_nak_pos_saturn,0.018001
125,sav_house_9,0.017871
126,t_house_from_moon_mars,0.017564
127,nak_pos_sun,0.017464
128,cross_lon_mercury,0.017254
129,t_dist_mercury_rahu,0.017149
130,d12_jupiter_deg,0.017043
131,d9_jupiter_sign,0.017016
132,t_dec_moon,0.016997
133,t_vel_sun,0.016783
134,t_dec_mercury,0.016771
135,d9_venus_deg,0.016665
136,t_d7_venus_sign,0.016608
137,tattva_ketu,0.016604
138,t_jerk_jupiter,0.016578
139,t_d9_venus_deg,0.016490
140,t_lon_rahu,0.016460
141,t_d4_moon_sign,0.016425
142,acc_mars,0.016171
143,t_d9_rahu_deg,0.016093
144,t_yoga_gajakesari,0.015925
145,lat_sun,0.015822
146,d10_venus_deg,0.015810
147,cross_lon_sun,0.015806
148,t_aspect_orb_moon_saturn,0.015779
149,aspect_orb_moon_mercury,0.015768
150,t_aspect_orb_mercury_mars,0.015624
151,t_aspect_orb_jupiter_saturn,0.015606
152,transit_bav_saturn,0.015504
153,d12_moon_deg,0.015469
154,aspect_orb_moon_rahu,0.015299
155,aspect_orb_jupiter_moon,0.015289
156,t_vel_jupiter,0.015271
157,t_aspect_orb_mercury_saturn,0.015225
158,lagna_degree_in_sign,0.015165
159,aspect_orb_sun_moon,0.015118
160,nak_pos_mars,0.015111
161,t_d30_moon_sign,0.015107
162,t_lat_jupiter,0.014968
163,t_d3_ketu_sign,0.014799
164,t_house_jupiter,0.014707
165,dec_jupiter,0.014662
