rank,feature,mean_abs_shap
1,cross_lon_saturn,0.194208
2,cross_lon_jupiter,0.097393
3,active_ad_lord,0.095359
4,active_pd_lord,0.091309
5,cross_lon_rahu,0.090976
6,active_md_lord,0.077435
7,t_dec_venus,0.068997
8,t_house_pos_rahu,0.064997
9,t_d12_saturn_deg,0.064253
10,cross_lon_mars,0.059346
11,t_dist_mars_saturn,0.054351
12,t_sav_house_4,0.052653
13,cross_lon_mercury,0.052649
14,t_lagna_degree_in_sign,0.051045
15,t_nak_pos_ketu,0.050690
16,t_dist_mars_jupiter,0.049932
17,md_elapsed_years,0.046114
18,t_nak_pos_mars,0.044938
19,t_d10_moon_deg,0.043461
20,t_aspect_orb_mars_rahu,0.043060
21,t_sav_house_10,0.042188
22,t_tattva_moon,0.041280
23,pd_elapsed_years,0.040699
24,t_house_pos_jupiter,0.039304
25,vel_moon,0.037286
26,t_dec_rahu,0.035984
27,t_d9_sun_deg,0.034128
28,cross_lon_moon,0.033769
29,house_pos_mercury,0.032639
30,t_house_pos_mercury,0.032557
31,t_house_pos_venus,0.031491
32,t_bav_in_sign_jupiter,0.030151
33,t_bav_in_sign_mars,0.028359
34,t_house_pos_saturn,0.027499
35,t_dist_mercury_ketu,0.027352
36,t_final_dispositor,0.026747
37,t_sav_house_12,0.026693
38,t_dec_jupiter,0.026138
39,t_aspect_orb_saturn_ketu,0.024849
40,t_aspect_orb_moon_mars,0.024743
41,t_aspect_orb_rahu_sun,0.024486
42,t_d9_saturn_deg,0.023657
43,t_acc_venus,0.023116
44,t_house_pos_ketu,0.022948
45,d4_saturn_sign,0.022894
46,aspect_orb_mercury_jupiter,0.022480
47,aspect_orb_mars_saturn,0.022298
48,t_d12_rahu_deg,0.021882
49,t_vel_mars,0.021826
50,t_jerk_jupiter,0.021223
51,t_aspect_orb_jupiter_moon,0.021097
52,t_d9_moon_deg,0.021015
53,t_aspect_orb_saturn_mars,0.020704
54,yoga_angle,0.020568
55,t_aspect_orb_ketu_moon,0.020512
56,acc_saturn,0.020430
57,t_aspect_orb_moon_jupiter,0.020102
58,d10_sun_sign,0.019747
59,t_sav_house_11,0.019686
60,t_d12_moon_deg,0.019606
61,transit_bav_jupiter,0.018746
62,aspect_orb_mars_jupiter,0.018230
63,house_from_moon_venus,0.018115
64,t_d10_sun_deg,0.017668
65,t_sav_house_3,0.017576
66,dasha_start_age_moon,0.017213
67,t_aspect_orb_mars_sun,0.016958
68,t_d12_mercury_deg,0.016908
69,t_aspect_orb_mars_mercury,0.016245
70,t_house_pos_mars,0.016202
71,t_aspect_orb_jupiter_saturn,0.016037
72,t_nak_pos_mercury,0.015923
73,aspect_orb_mars_mercury,0.015685
74,transit_bav_mars,0.015684
75,t_aspect_orb_mercury_saturn,0.015586
76,t_lat_jupiter,0.015576
77,ad_elapsed_years,0.015510
78,t_d9_jupiter_deg,0.015478
79,d9_jupiter_deg,0.015438
80,d12_saturn_deg,0.015321
81,aspect_orb_jupiter_rahu,0.015151
82,aspect_orb_mars_rahu,0.015015
83,transit_bav_moon,0.014924
84,t_aspect_orb_saturn_rahu,0.014865
85,dec_mercury,0.014728
86,t_sav_house_1,0.014683
87,transit_bav_saturn,0.014632
88,aspect_orb_saturn_jupiter,0.014594
89,t_aspect_orb_jupiter_venus,0.014471
90,t_aspect_orb_jupiter_sun,0.014316
91,t_dist_sun_venus,0.014301
92,t_lon_saturn,0.014223
93,lat_moon,0.014185
94,jerk_jupiter,0.014076
95,t_aspect_orb_saturn_venus,0.014061
96,tattva_mercury,0.014053
97,t_tattva_rahu,0.013940
98,d12_venus_deg,0.013906
99,tattva_jupiter,0.013706
100,d9_venus_deg,0.013687
101,vel_venus,0.013560
102,dispositor_rahu,0.013517
103,dispositor_mercury,0.013462
104,house_pos_mars,0.013424
105,t_aspect_orb_saturn_mercury,0.013357
106,aspect_orb_sun_mars,0.013078
107,dist_venus_saturn,0.012955
108,d10_jupiter_deg,0.012948
109,t_acc_mars,0.012783
110,t_d9_rahu_sign,0.012753
111,t_dispositor_jupiter,0.012684
112,d9_sun_deg,0.012487
113,t_d9_mars_deg,0.012436
114,aspect_orb_rahu_mars,0.012249
115,aspect_orb_saturn_venus,0.012117
116,t_dist_sun_mercury,0.012078
117,d24_saturn_sign,0.012057
118,t_tattva_mars,0.011970
119,t_aspect_orb_moon_mercury,0.011966
120,lon_sun,0.011885
121,aspect_orb_saturn_mars,0.011769
122,t_house_pos_moon,0.011686
123,t_aspect_orb_sun_jupiter,0.011649
124,t_d9_sun_sign,0.011638
125,t_vel_mercury,0.011617
126,dist_mercury_venus,0.011615
127,transit_bav_venus,0.011547
128,cross_lon_sun,0.011504
129,aspect_orb_moon_saturn,0.011504
130,transit_bav_mercury,0.011494
131,t_aspect_orb_jupiter_mars,0.011415
132,aspect_orb_jupiter_moon,0.011244
133,d7_jupiter_sign,0.011172
134,first_jupiter_antardasha_after_16,0.011169
135,t_nak_pos_jupiter,0.011150
136,d4_mars_sign,0.011082
137,d10_mars_deg,0.011072
138,t_aspect_orb_saturn_moon,0.011004
139,t_d12_mars_deg,0.010973
140,aspect_orb_jupiter_venus,0.010959
141,acc_sun,0.010934
142,t_aspect_orb_ketu_saturn,0.010911
143,t_aspect_orb_rahu_venus,0.010877
144,t_aspect_orb_mercury_mars,0.010856
145,dist_moon_mars,0.010827
146,t_dist_sun_rahu,0.010760
147,t_dist_moon_mars,0.010688
148,dist_moon_jupiter,0.010684
149,dist_moon_mercury,0.010567
150,house_pos_jupiter,0.010535
151,aspect_orb_jupiter_sun,0.010525
152,t_nak_pos_saturn,0.010506
153,aspect_orb_sun_jupiter,0.010490
154,t_d30_rahu_sign,0.010416
155,dist_moon_venus,0.010349
156,t_vel_sun,0.010339
157,bav_in_sign_moon,0.010322
158,t_vel_jupiter,0.010308
159,t_dist_mercury_saturn,0.010258
160,t_d10_mars_deg,0.010198
161,aspect_orb_rahu_venus,0.010166
162,t_d24_mars_sign,0.010161
163,dasha_start_age_jupiter,0.010086
164,aspect_orb_venus_saturn,0.010069
165,t_acc_mercury,0.010027
166,dispositor_mars,0.009941
167,dist_moon_saturn,0.009830
168,aspect_orb_mars_ketu,0.009828
169,first_sun_antardasha_after_16,0.009789
170,t_house_pos_sun,0.009666
