PartitionKey,RowKey,Info
A.A.Gill1954,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Amber Rudd"",
      ""marriageDate"": ""1990"",
      ""divorceDate"": ""1995"",
      ""outcome"": ""Dissolution"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    },
    {
      ""type"": ""Love"",
      ""spouse"": ""Catherine Mayer"",
      ""marriageDate"": ""1997"",
      ""divorceDate"": ""2016"",
      ""outcome"": ""Dissolution"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
A.J.Antoon1944,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Lori Antoon"",
      ""marriageDate"": ""1970"",
      ""divorceDate"": ""Not Applicable"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""medium"",
      ""PersonId"": """"
    }
  ]
}"
A.J.Cronin1896,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Agnes Mary Gibson"",
      ""marriageDate"": ""31/08/1921"",
      ""divorceDate"": """",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
A.J.Foyt1935,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Lucille Masters"",
      ""marriageDate"": ""05/11/1956"",
      ""divorceDate"": """",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
A.SpencerPaterson1900,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Margaret Paterson"",
      ""marriageDate"": ""12/06/1926"",
      ""divorceDate"": ""N/A"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AaronEckhart1968,,"{
  ""marriages"": [
    {
      ""type"": ""None"",
      ""spouse"": ""None"",
      ""marriageDate"": ""None"",
      ""divorceDate"": ""None"",
      ""outcome"": ""None"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AaronPryor1955,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Fran Pryor"",
      ""marriageDate"": ""1980"",
      ""divorceDate"": ""Not Applicable"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AaronSpelling1923,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Carolyn Jones"",
      ""marriageDate"": ""29/04/1953"",
      ""divorceDate"": ""23/09/1964"",
      ""outcome"": ""Dissolution"",
      ""dataCredibility"": ""high"",
      ""PersonId"": ""CarolynJones1930""
    },
    {
      ""type"": ""Love"",
      ""spouse"": ""Candy Marer"",
      ""marriageDate"": ""23/09/1968"",
      ""divorceDate"": """",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AaronStanford1976,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Nikeva Stapleton"",
      ""marriageDate"": ""29/12/2016"",
      ""divorceDate"": ""N/A"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AartVanderLeeuw1876,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Clara Gabriëlle de Jongh"",
      ""marriageDate"": ""28/03/1906"",
      ""divorceDate"": ""N/A"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AbbéFouéré1839,,"{
  ""marriages"": [
    {
      ""type"": ""Unknown"",
      ""spouse"": ""Unknown"",
      ""marriageDate"": ""Unknown"",
      ""divorceDate"": ""Unknown"",
      ""outcome"": ""Unknown"",
      ""dataCredibility"": ""low"",
      ""PersonId"": """"
    }
  ]
}"
AbbéPierre1912,,"{
  ""marriages"": [
    {
      ""type"": ""None"",
      ""spouse"": ""None"",
      ""marriageDate"": ""None"",
      ""divorceDate"": ""None"",
      ""outcome"": ""None"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AbdAlMalik1975,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Nadia"",
      ""marriageDate"": ""2000"",
      ""divorceDate"": ""null"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""medium"",
      ""PersonId"": """"
    }
  ]
}"
AbdecamaiMoussali1970,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Mouna Ayoub"",
      ""marriageDate"": ""15/05/2002"",
      ""divorceDate"": ""N/A"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": """"
    }
  ]
}"
AbdonAlinovi1923,,"{
  ""marriages"": [
    {
      ""type"": ""Love"",
      ""spouse"": ""Marisa Allasio"",
      ""marriageDate"": ""15/11/1953"",
      ""divorceDate"": ""N/A"",
      ""outcome"": ""Happiness"",
      ""dataCredibility"": ""high"",
      ""PersonId"": ""MarisaAllasio1936""
    }
  ]
}"
Abdulrahmanal1995,,"{
  ""marriages"": []
}"
